Vuosi	Paaluokka/Osasto	Luku	Momentti	Alkup.talousarvio	Lisätalousarvio	Voimassaoleva talousarvio	Käytettävissä	Nettokertymä ko.vuodelta	Nettokertymä	Jäljellä	
2014	25. Oikeusministeriön hallinnonala	25.10. Tuomioistuimet ja oikeusapu	25.10.02. Korkeimman hallinto-oikeuden toimintamenot	10970000	0	10970000	10970000	10970000	10970000	0	
2014	25. Oikeusministeriön hallinnonala	25.10. Tuomioistuimet ja oikeusapu	25.10.03. Muiden tuomioistuinten toimintamenot	259182000	866000	260048000	260048000	260048000	260048000	0	
2014	25. Oikeusministeriön hallinnonala	25.10. Tuomioistuimet ja oikeusapu	25.10.04. Oikeusaputoimistojen ja kuluttajariitalautakunnan toimintamenot	29371000	0	29371000	29371000	29371000	29371000	0	
2014	25. Oikeusministeriön hallinnonala	25.10. Tuomioistuimet ja oikeusapu	25.10.05. Yleisen edunvalvonnan toimintamenot	12411000	-2000000	10411000	10411000	9474682	16	9474682	16	936317	84	
2014	25. Oikeusministeriön hallinnonala	25.10. Tuomioistuimet ja oikeusapu	25.10.50. Yksityisille oikeusavustajille maksettavat korvaukset	45150000	12600000	57750000	57750000	60456245	22	60456245	22	-2706245	22	
2014	25. Oikeusministeriön hallinnonala	25.20. Maksuhäiriöt ulosotto ja konkurssivalvonta	25.20.01. Ulosottolaitoksen ja konkurssivalvonnan toimintamenot	105377000	0	105377000	105377000	105377000	105377000	0	
2014	25. Oikeusministeriön hallinnonala	25.30. Syyttäjät	25.30.01. Syyttäjälaitoksen toimintamenot	45923000	0	45923000	45923000	45923000	45923000	0	
2014	25. Oikeusministeriön hallinnonala	25.40. Rangaistusten täytäntöönpano	25.40.01. Rikosseuraamuslaitoksen toimintamenot	229206000	0	229206000	229206000	229206000	229206000	0	
2014	25. Oikeusministeriön hallinnonala	25.40. Rangaistusten täytäntöönpano	25.40.74. Avolaitostyöt	5400000	0	5400000	5400000	5400000	5400000	0	
2014	25. Oikeusministeriön hallinnonala	25.50. Vaalimenot	25.50.20. Vaalimenot	17249000	0	17249000	17249000	16769179	47	16769179	47	479820	53	
